Participant,Sex,Age,AgeGroup,AcquisitionAge,Univ.ProfNativeEngSpeakerYesNo,TrainingGroup,Word,PrePosttraining,OnsetMedialCoda,TrainedNewWord,VoicedUnvoiced,Phoneme,POA,Position,tierNumber,tiermeaning,HKUNativeSoundingYesNo,RUNativeSoundingYesNo,ComprehensionPerformanceT1T2,Column1,onset,offset,midpoint,midbottom,midtop,soundname,intervalname,F0_Max,F0_Average,midF0_max,midF0_avg,First_Formant,First_Formant_mid,Second_Formant,Second_Formant_mid,Third_Formant,Third_Formant_mid,Intensity_Max,Intensity_Max_mid,Intensity_Average,Intensity_Average_mid,Mid_Duration,Duration,Dur
1404,,,University Students,,,Yes,dock,post,coda,new word,unvoiced,k,velar,coda,3, ,,,, ,0.7149,0.7593,0.7371,0.7223,0.7519,1404-dock-2,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,1193.7615,1233.124749,1453.166004,1661.466183,3391.494834,3242.10033,49.25313665,47.20270803,41.8125,41.9024,0.0296,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,fat,pre,coda,new word,unvoiced,t,alveolar,vowel,1, ,,,, ,0.5273,0.7239,0.6256,0.5601,0.6911,1404-fat-1,vowel,235.8596657,227.7033404,223.0456434,222.0044778,809.846,842.9346282,1725.604185,1716.315422,2724.768893,2692.732272,55.74425619,55.74425619,44.5468,46.2691,0.1311,0.1966302,197
1404,,,University Students,,,Yes,fat,pre,coda,new word,unvoiced,t,alveolar,coda,2, ,,,, ,0.8288,0.8839,0.8563,0.838,0.8747,1404-fat-1,asp,--undefined--,--undefined--,--undefined--,--undefined--,1322.2978,1276.193592,2095.529921,2168.142748,3543.71279,3583.84595,45.22552042,42.2100511,34.1097,34.1526,0.0367,0.05508294,55
1404,,,University Students,,,Yes,fat,pre,coda,new word,unvoiced,t,alveolar,coda,3, ,,,, ,0.8288,0.8839,0.8563,0.838,0.8747,1404-fat-1,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,1322.2978,1276.193592,2095.529921,2168.142748,3543.71279,3583.84595,45.22552042,42.2100511,34.1097,34.1526,0.0367,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,fat,post,coda,new word,unvoiced,t,alveolar,vowel,1, ,,,, ,0.4543,0.6487,0.5515,0.4867,0.6163,1404-fat-2,vowel,237.1974302,218.0991209,225.2228509,208.4412964,795.6406,801.3961831,1846.918222,1834.240681,2871.753177,2674.112732,69.65252987,69.65252987,61.8505,63.1317,0.1296,0.19436243,194
1404,,,University Students,,,Yes,fat,post,coda,new word,unvoiced,t,alveolar,coda,2, ,,,, ,0.7359,0.7686,0.7523,0.7414,0.7632,1404-fat-2,null asp,--undefined--,--undefined--,--undefined--,--undefined--,838.2698,877.4506513,2303.603606,2237.842066,3352.636638,3152.681858,43.80127201,42.12807947,38.3472,38.7674,0.0218,0,0
1404,,,University Students,,,Yes,fat,post,coda,new word,unvoiced,t,alveolar,coda,3, ,,,, ,0.7359,0.7686,0.7523,0.7414,0.7632,1404-fat-2,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,838.2698,877.4506513,2303.603606,2237.842066,3352.636638,3152.681858,43.80127201,42.12807947,38.3472,38.7674,0.0218,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,feet,pre,coda,trained,unvoiced,t,alveolar,vowel,1, ,,,, ,0.5259,0.6691,0.5975,0.5498,0.6452,1404-feet-1,vowel,231.4970105,218.6041571,230.5442834,215.6539229,401.858,408.6804894,2523.078494,2514.571155,2823.599727,2777.38645,49.31163018,49.31163018,42.7685,44.1006,0.0954,0.14313911,143
1404,,,University Students,,,Yes,feet,pre,coda,trained,unvoiced,t,alveolar,coda,2, ,,,, ,0.744,0.8313,0.7877,0.7586,0.8167,1404-feet-1,asp,--undefined--,--undefined--,--undefined--,--undefined--,1002.9212,1112.402148,2115.461141,2124.252218,3385.8535,3508.627565,46.0013775,46.0013775,35.751,39.2812,0.0582,0.0872467,87
1404,,,University Students,,,Yes,feet,pre,coda,trained,unvoiced,t,alveolar,coda,3, ,,,, ,0.744,0.8313,0.7877,0.7586,0.8167,1404-feet-1,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,1002.9212,1112.402148,2115.461141,2124.252218,3385.8535,3508.627565,46.0013775,46.0013775,35.751,39.2812,0.0582,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,feet,post,coda,trained,unvoiced,t,alveolar,vowel,1, ,,,, ,0.4431,0.6785,0.5608,0.4823,0.6392,1404-feet-2,vowel,281.2863636,162.1707628,218.7347861,138.4282994,443.2069,461.930313,2610.397774,2536.092128,4348.926745,4055.737382,59.8436181,58.70518029,51.6594,52.3475,0.1569,0.23540009,235
